"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","ClusterName"
"1",0,1.58550796406101,0.568,0.03,0,13,"IGHG1","B cells memory"
"2",1.47191156565329e-235,1.29322813423389,0.461,0.032,2.06317844157621e-231,13,"RP5-887A10.1","B cells memory"
"3",2.53574538458245e-218,1.01449372672621,0.315,0.014,3.55435430556922e-214,13,"IGHG3","B cells memory"
"4",1.84864757785121e-183,1.5622879607,0.282,0.014,2.59124930987404e-179,13,"AL928768.3","B cells memory"
"5",6.68135476247346e-123,2.5884903490308,1,0.516,9.36525497055905e-119,13,"IGKC","B cells memory"
"6",3.48288271109702e-114,0.618091940765602,0.299,0.027,4.88195669614469e-110,13,"CPNE5","B cells memory"
"7",8.34155781986986e-93,0.985490044869178,0.876,0.281,1.16923615961116e-88,13,"CD79A","B cells memory"
"8",6.06591191521581e-91,0.93304305835434,0.851,0.263,8.50258873155801e-87,13,"MS4A1","B cells memory"
"9",6.88387840236748e-85,1.18285323351796,0.95,0.53,9.64913235659849e-81,13,"HLA-DRA","B cells memory"
"10",3.19231264301273e-84,0.730672934751808,0.581,0.126,4.47466463171095e-80,13,"BANK1","B cells memory"
"11",2.22134670710328e-83,0.901805038483774,0.759,0.219,3.11366167934667e-79,13,"HLA-DQA1","B cells memory"
"12",2.75157865620132e-75,0.615902223841457,0.361,0.058,3.85688780239739e-71,13,"SPIB","B cells memory"
"13",4.32039048094082e-75,1.03061573149364,0.996,0.902,6.05589133713474e-71,13,"CD74","B cells memory"
"14",8.12712140529262e-75,0.844956971703205,0.871,0.322,1.13917860737987e-70,13,"HLA-DQB1","B cells memory"
"15",3.53048132038463e-74,0.971349893508145,0.307,0.044,4.94867566678313e-70,13,"IGKV1-12","B cells memory"
"16",2.46921123966628e-72,1.97298463483064,0.461,0.102,3.46109339464022e-68,13,"JCHAIN","B cells memory"
"17",2.59132665717874e-68,0.694398600717514,0.411,0.08,3.63226257536744e-64,13,"GNG7","B cells memory"
"18",1.67957867006299e-67,0.903691198109868,0.929,0.497,2.35426542182729e-63,13,"HLA-DPA1","B cells memory"
"19",7.86143570354561e-67,0.669147352834124,0.411,0.081,1.10193744256599e-62,13,"BLK","B cells memory"
"20",8.49913348580922e-67,0.680689121542272,0.544,0.132,1.19132354070588e-62,13,"TNFRSF13C","B cells memory"
"21",1.80250698392477e-65,0.951903458056148,0.921,0.593,2.52657403936735e-61,13,"HLA-DPB1","B cells memory"
