"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"KEGG_OXIDATIVE_PHOSPHORYLATION","KEGG_OXIDATIVE_PHOSPHORYLATION","KEGG_OXIDATIVE_PHOSPHORYLATION","26/218","135/5266",2.21863656438214e-11,2.9064138993406e-09,2.28869877167842e-09,"ATP6V0B/TCIRG1/NDUFB1/ATP5E/COX8A/ATP6V1B2/COX5B/ATP6V0D1/COX6B1/ATP5J2/ATP6V1F/UQCRQ/ATP5G2/UQCR10/ATP6V0E1/ATP5I/NDUFB5/COX5A/NDUFS6/COX7B/NDUFA11/UQCR11/ATP5B/NDUFA1/UQCRB/UQCRC1",26
"KEGG_LEISHMANIA_INFECTION","KEGG_LEISHMANIA_INFECTION","KEGG_LEISHMANIA_INFECTION","18/218","72/5266",3.6161461596489e-10,2.36857573457003e-08,1.86517012445049e-08,"FOS/FCGR3A/HLA-DRB1/NCF2/IFNGR2/HLA-DRA/NCF1/HLA-DPA1/CYBA/FCGR2A/NFKBIA/PTPN6/HLA-DPB1/HLA-DMA/IFNGR1/MYD88/ITGB2/HLA-DMB",18
"KEGG_LYSOSOME","KEGG_LYSOSOME","KEGG_LYSOSOME","21/218","121/5266",1.5073974152525e-08,6.58230204660257e-07,5.1833314629735e-07,"CTSS/PSAP/CD68/NPC2/AP1S2/ASAH1/CTSD/SLC11A1/ATP6V0B/CTSZ/CTSB/CTSH/TCIRG1/CLTA/PPT1/ATP6V0D1/GNS/TPP1/LAPTM4A/CD63/CTSC",21
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","14/218","59/5266",7.28110357188368e-08,2.38456141979191e-06,1.87775828959105e-06,"CD14/ACTB/LY96/ARPC5/TUBA1B/ARPC1B/RHOA/ARPC3/TUBA1A/CDC42/ARPC4/WAS/ARPC2/ACTG1",14
"KEGG_HUNTINGTONS_DISEASE","KEGG_HUNTINGTONS_DISEASE","KEGG_HUNTINGTONS_DISEASE","25/218","185/5266",1.12034877676809e-07,2.93531379513239e-06,2.31145642364784e-06,"GPX1/SOD2/AP2S1/CLTA/NDUFB1/ATP5E/COX8A/POLR2L/SLC25A5/COX5B/COX6B1/UQCRQ/ATP5G2/UQCR10/NDUFB5/COX5A/NDUFS6/AP2A1/COX7B/UQCR11/ATP5B/SLC25A6/NDUFA1/UQCRB/UQCRC1",25
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS","17/218","97/5266",3.28641567875689e-07,7.17534089861922e-06,5.65032871084518e-06,"FCGR3A/HCK/RAC1/LYN/ARPC5/NCF1/MARCKS/ARPC1B/VASP/FCGR2A/ARPC3/PAK1/CDC42/ARPC4/WAS/CFL1/ARPC2",17
"KEGG_PARKINSONS_DISEASE","KEGG_PARKINSONS_DISEASE","KEGG_PARKINSONS_DISEASE","19/218","133/5266",1.75153730797958e-06,3.27787696207608e-05,2.58121287491728e-05,"NDUFB1/ATP5E/COX8A/SLC25A5/COX5B/COX6B1/UQCRQ/ATP5G2/UQCR10/NDUFB5/COX5A/NDUFS6/COX7B/UQCR11/ATP5B/SLC25A6/NDUFA1/UQCRB/UQCRC1",19
"KEGG_ALZHEIMERS_DISEASE","KEGG_ALZHEIMERS_DISEASE","KEGG_ALZHEIMERS_DISEASE","21/218","169/5266",4.93705168143505e-06,8.0844221283499e-05,6.36619822079783e-05,"CALM2/GAPDH/BID/NDUFB1/ATP5E/COX8A/COX5B/COX6B1/UQCRQ/TNFRSF1A/ATP5G2/UQCR10/NDUFB5/COX5A/NDUFS6/COX7B/UQCR11/ATP5B/NDUFA1/UQCRB/UQCRC1",21
"KEGG_VIRAL_MYOCARDITIS","KEGG_VIRAL_MYOCARDITIS","KEGG_VIRAL_MYOCARDITIS","13/218","73/5266",6.97874929640829e-06,0.000101579573092165,7.99903428126331e-05,"RAC1/ACTB/HLA-DRB1/BID/HLA-DRA/HLA-DPA1/CD86/HLA-DPB1/HLA-DMA/ITGB2/MYH9/ACTG1/HLA-DMB",13
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","15/218","118/5266",9.03545574789371e-05,0.00101744530356834,0.000801202408595399,"CYBB/RAC1/ACTB/NCF2/NCF1/PECAM1/RHOA/CYBA/VASP/GNAI2/MSN/CDC42/RAP1A/ITGB2/ACTG1",15
