Cells,Conditions,Treatment,Control
Cell0,Treatment,1,0
Cell1,Treatment,1,0
Cell2,Control,0,1
Cell3,Control,0,1
Cell4,Treatment,1,0
Cell5,Treatment,1,0
Cell6,Treatment,1,0
Cell7,Treatment,1,0
Cell8,Control,0,1
Cell9,Control,0,1
Cell10,Control,0,1
Cell11,Control,0,1
Cell12,Control,0,1
Cell13,Control,0,1
Cell14,Control,0,1
Cell15,Control,0,1
Cell16,Control,0,1
Cell17,Control,0,1
Cell18,Control,0,1
Cell19,Control,0,1
Cell20,Control,0,1
Cell21,Control,0,1
Cell22,Treatment,1,0
Cell23,Treatment,1,0
Cell24,Control,0,1
Cell25,Control,0,1
Cell26,Treatment,1,0
Cell27,Control,0,1
Cell28,Control,0,1
Cell29,Control,0,1
Cell30,Treatment,1,0
Cell31,Control,0,1
Cell32,Control,0,1
Cell33,Control,0,1
Cell34,Control,0,1
Cell35,Control,0,1
Cell36,Control,0,1
Cell37,Control,0,1
Cell38,Control,0,1
Cell39,Control,0,1
Cell40,Control,0,1
Cell41,Control,0,1
Cell42,Control,0,1
Cell43,Control,0,1
Cell44,Control,0,1
Cell45,Control,0,1
Cell46,Control,0,1
Cell47,Treatment,1,0
Cell48,Control,0,1
Cell49,Control,0,1
Cell50,Treatment,1,0
Cell51,Control,0,1
Cell52,Control,0,1
Cell53,Control,0,1
Cell54,Control,0,1
Cell55,Treatment,1,0
Cell56,Control,0,1
Cell57,Control,0,1
Cell58,Control,0,1
Cell59,Control,0,1
Cell60,Control,0,1
Cell61,Control,0,1
Cell62,Control,0,1
Cell63,Control,0,1
Cell64,Control,0,1
Cell65,Control,0,1
Cell66,Control,0,1
Cell67,Control,0,1
Cell68,Control,0,1
Cell69,Treatment,1,0
Cell70,Control,0,1
Cell71,Control,0,1
Cell72,Treatment,1,0
Cell73,Control,0,1
Cell74,Control,0,1
Cell75,Control,0,1
Cell76,Control,0,1
Cell77,Control,0,1
Cell78,Treatment,1,0
Cell79,Treatment,1,0
Cell80,Treatment,1,0
Cell81,Treatment,1,0
Cell82,Control,0,1
Cell83,Control,0,1
Cell84,Control,0,1
Cell85,Control,0,1
Cell86,Control,0,1
Cell87,Control,0,1
Cell88,Control,0,1
Cell89,Control,0,1
Cell90,Control,0,1
Cell91,Treatment,1,0
Cell92,Control,0,1
Cell93,Treatment,1,0
Cell94,Treatment,1,0
Cell95,Control,0,1
Cell96,Control,0,1
Cell97,Control,0,1
Cell98,Control,0,1
Cell99,Treatment,1,0
