Node,Importance Score,ObsERS,MaxERS,Control,Treatment,Upregulated_in_Control
DLAT,0.003994065959146411,127,127,0.012987012987012988,0.043478260869565216,False
GALM,0.8818897637795275,16,127,0.03896103896103896,0.043478260869565216,False
DLD,0.003994065959146411,127,127,0.11688311688311688,0.2608695652173913,False
BPGM,0.4633116512609838,12,127,0.025974025974025976,0.043478260869565216,False
MINPP1,0.3623188405797103,3,7,0.0,0.0,False
AKR1A1,0.003994065959146411,127,127,0.2987012987012987,0.17391304347826086,True
TPI1,0.0,7,7,0.7922077922077922,0.782608695652174,True
GPI,0.3355015405682986,16,127,0.19480519480519481,0.08695652173913043,True
ADPGK,1.0,1,1,0.2597402597402597,0.21739130434782608,True
ALDH9A1,0.07246376811594205,7,7,0.09090909090909091,0.13043478260869565,False
AHR,0.5072463768115943,1,1,0.06493506493506493,0.043478260869565216,True
PDHB,0.5072463768115943,1,1,0.15584415584415584,0.13043478260869565,True
GAPDH,0.2396439575487848,56,127,0.948051948051948,1.0,False
PGM2,0.42857142857142855,5,7,0.11688311688311688,0.13043478260869565,False
MDH1,0.5072463768115943,1,1,0.19480519480519481,0.13043478260869565,True
MDH2,0.5072463768115943,1,1,0.33766233766233766,0.34782608695652173,False
POR,0.07246376811594205,7,7,0.11688311688311688,0.13043478260869565,False
ALDOA,0.0,1,1,0.8441558441558441,0.8260869565217391,True
ALDOC,0.4649758454106282,1,1,0.012987012987012988,0.0,True
ALDH2,0.07246376811594205,7,7,0.22077922077922077,0.21739130434782608,True
ALDH1B1,0.07246376811594205,7,7,0.012987012987012988,0.0,True
ALDH3A2,0.07246376811594205,7,7,0.09090909090909091,0.0,True
ALDH3B1,0.07246376811594205,7,7,0.16883116883116883,0.21739130434782608,False
ADH5,0.003994065959146411,127,127,0.07792207792207792,0.043478260869565216,True
PDHA1,0.5072463768115943,1,1,0.09090909090909091,0.17391304347826086,False
LDHA,0.07246376811594205,7,7,0.5064935064935064,0.6521739130434783,False
LDHB,0.07246376811594205,7,7,0.33766233766233766,0.21739130434782608,True
LDHC,0.07246376811594205,7,7,0.0,0.0,False
PKM,0.003994065959146411,127,127,0.5324675324675324,0.6086956521739131,False
ENO1,0.2556202213853704,64,127,0.6883116883116883,0.6086956521739131,True
ENO2,0.2596142873445168,63,127,0.025974025974025976,0.0,True
ENO3,0.2596142873445168,63,127,0.012987012987012988,0.0,True
PGAM1,0.2556202213853704,64,127,0.6233766233766234,0.6521739130434783,False
PFKL,0.048309178743961366,7,7,0.23376623376623376,0.2608695652173913,False
PFKM,0.06642512077294688,7,7,0.0,0.0,False
PFKP,0.06642512077294688,7,7,0.025974025974025976,0.13043478260869565,False
FBP1,0.06642512077294688,7,7,0.14285714285714285,0.2608695652173913,False
PGM1,0.33212560386473444,3,7,0.05194805194805195,0.043478260869565216,True
HK1,0.0036612271292175455,127,127,0.24675324675324675,0.21739130434782608,True
HK2,0.003994065959146411,127,127,0.07792207792207792,0.08695652173913043,False
HK3,0.9448818897637796,8,127,0.16883116883116883,0.34782608695652173,False
HKDC1,0.003994065959146411,127,127,0.0,0.0,False
G6PC3,0.003994065959146411,127,127,0.1038961038961039,0.13043478260869565,False
PGK1,0.43934725550610537,8,127,0.6623376623376623,0.6956521739130435,False
PCK2,0.5072463768115943,1,1,0.012987012987012988,0.043478260869565216,False
ACSS2,0.5072463768115943,1,1,0.06493506493506493,0.0,True
ACSS1,0.5072463768115943,1,1,0.025974025974025976,0.043478260869565216,False
